Plant,Frequency
Big shaggy-moss,3
Bracken,3
European blackberry,1
Hedge bedstraw,10
Little mouse-ear chickweed,1
Marsh violet,2
St. johns wort,1
Sweet vernal grass,4
Tormentil,2
Tufted hair-grass,2
Wavy hair-grass,7
Wood sorrel,1
Yellow pimpernel,1
Yorkshire fog,8
