Plant ,Frequency
Bell heather,9
Big shaggy-moss,18
Bracken,17
Broom fork-moss,2
Common bent,2
Common foxglove,1
Common heather,8
Creeping buttercup,3
European blackberry,9
European blackberry,1
European honeysuckle,1
Gorse,1
Hedge bedstraw,17
Little mouse-ear chickweed,1
Marsh violet,2
Soft rush,1
St. johns wort,1
Sweet vernal grass,4
Tormentil,9
Tufted hair-grass,2
Wavy hair-grass,10
Wood sage,5
Wood sorrel,1
Yellow pimpernel,1
Yorkshire fog,11
