North Low,
Common name,Count of Common name
Big shaggy-moss,6
Bracken,10
Common bent,2
Creeping buttercup,1
European blackberry,9
European honeysuckle,1
Gorse,1
Hedge bedstraw,3
Tormentil,1
Wood sage,2
