Scientific_Name,Common_Name
Nyctalus_leisleri ,Lesser noctule
Common_pipistrelle,Common pipistrelle
Soprano_pipistrelle,Soprano_pipistrelle
Nyctalus_leisleri,Lesser noctule
Pipistrellus_nathusii ,Nathusius' pipistrelle
Common_pipistrelle,Common pipistrelle
Pipistrellus_nathusii ,Nathusius' pipistrelle
Common_pipistrelle,Common pipistrelle
Soprano_pipistrelle,Soprano pipistrelle
Plecotus_auritus ,Brown long-eared bat
