Plant,Frequency
Big shaggy-moss,2
Bog myrtle,1
Bracken,12
Common bent,7
Common haircap,2
Common nettle,2
Hard rush,1
Heath bedstraw,6
Marsh violet,2
Mat grass,25
Primrose,1
Sedge,6
Soft rush,2
Sphagnum moss,1
Tormentil,14
Tufted hair-grass,5
White clover,2
Yorkshire fog,10
