Order,scientificName,Common_Name,Taxon,Frequency,BMWPscore
Coleoptera,dytiscidae,Diving beetle,Family,1,5
Hemiptera,Corixidae,Lesser Water Boatman,Family,4,
Odonata,zygoptera ,Damselfly larvae,Suborder,2,
Odonata,anisoptera,Dragonfly larvae,Infraorder,3,
Hemiptera,Notonectidae,Greater Water Boatman,Family,2,
