Plant,Frequency
Bell heather,9
Big shaggy-moss,9
Bracken,4
Broom fork-moss,2
Common foxglove,1
Common heather,8
Creeping buttercup,2
Hedge bedstraw,4
Soft rush,1
Tormentil,6
Wavy hair-grass,3
Wood sage,3
Yorkshire fog,3
