Plant,Frequency
Bog myrtle,1
Bracken,1
Common bent,2
Common nettle,1
Hard rush,1
Mat grass,7
Sedge,3
Soft rush,2
Sphagnum moss,1
Tormentil,3
Tufted hair-grass,3
White clover,2
Yorkshire fog,2
