Bat species,North Low,North Mid,North High,South Low,South mid,South high
Brown long-eared bat,0,,,,1,
Common pipistrelle,1,,,,1,
Lesser noctule,0,,,,1,
Nathusius' pipistrelle,0,,,,1,
Soprano pipistrelle,0,,,,1,
