Plant,Frequency
Big shaggy-moss,1
Bracken,5
Common bent,5
Common haircap,2
Heath bedstraw,4
Mat grass,10
Primrose,1
Sedge,3
Tormentil,6
Tufted hair-grass,2
Yorkshire fog,7
