Order,Scientific_Name,Common_Name,Frequency 
Rodentia,Sciurus vulgaris,Red Squirrel,1
Artiodactyla,Cervus elaphus,Red deer,1
Artiodactyla,Cervus elaphus,Red deer,1
Artiodactyla,Ovis sp.,Domestic sheep,1
Artiodactyla,Cervus elaphus,Red deer,1
